no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,credit_income_ratio,total_assets,assets_income_ratio,loan_assets_ratio,high_debt,low_cibil,education_encoded,self_employed_encoded
1,2388099.0,37599491,14,370.0,24333847.0,7059358,5895413,1178552,15.744527760365044,38467170.0,16.107862362489996,0.9774436232911435,1,1,1,0
1,7543546.0,19262472,8,342.0,21928991.0,12980955,12836483,461736,2.5535036175294747,48208165.0,6.390650365226115,0.39956865399111013,0,1,0,0
5,1185043.0,28574570,20,670.0,17667166.0,10833189,20836151,9551596,24.112686206323314,58888102.0,49.69279764531751,0.4852350227685208,1,0,1,1
2,2013241.0,36892063,18,393.0,20517646.0,2462908,13663642,14533387,18.3247127393094,51177583.0,25.420495112110274,0.7208637086111763,1,1,0,1
5,6747762.0,2651892,12,651.0,13620037.0,4940295,4484127,3481917,0.3930031912803089,26526376.0,3.93113687175096,0.09997188835851953,0,0,1,1
1,3616599.0,5193918,2,775.0,23091757.0,5181630,9586467,7793394,1.436133229036451,45653248.0,12.623254057195725,0.11376885794042829,0,0,0,0
3,4722020.0,1660754,18,846.0,8118923.0,7322641,6982444,10194180,0.3517041435656774,32618188.0,6.907676799335878,0.05091496649308151,0,0,0,0
2,3357403.0,32861737,18,642.0,27499328.0,2665797,16866276,2990272,9.787844056849893,50021673.0,14.898918300841453,0.6569499653290292,1,1,1,0
1,2277467.0,12076556,16,736.0,18675160.0,10505901,19856852,11879740,5.302626119280762,60917653.0,26.747984932383215,0.19824394419391134,1,0,0,0
3,9640189.0,12531456,10,680.0,311731.0,10016492,16756907,5626236,1.2999180825189216,32711366.0,3.393228701221522,0.3830917858003305,0,0,0,1
0,7527830.0,27230374,10,784.0,3501030.0,17061950,23284004,11196334,3.6172939612079444,55043318.0,7.311976758242415,0.4947080680218429,1,0,0,0
0,8467840.0,21612550,18,477.0,10503919.0,18533891,11612171,13766850,2.5523096799183733,54416831.0,6.426294190726325,0.3971666340297061,0,1,1,0
3,6490610.0,29806516,2,451.0,26781668.0,3823079,24569473,10056157,4.5922518838753215,65230377.0,10.049960943578492,0.45694225472677774,1,1,1,0
2,3570116.0,20353250,6,813.0,9489165.0,5944376,10014041,14680664,5.701005233443395,40128246.0,11.240039819434438,0.5072050618109483,1,0,0,0
2,4715709.0,33990495,12,765.0,3757240.0,7621126,11248816,2899892,7.207928860750314,25527074.0,5.413199584622376,1.3315467988400551,1,0,1,0
5,8741962.0,12677205,18,826.0,9626836.0,10083890,7572536,4630469,1.4501555829229182,31913731.0,3.6506371224217173,0.3972335482418665,0,0,1,0
3,8060741.0,7445855,16,811.0,11334640.0,19022283,3239757,14451996,0.9237184273753493,48048676.0,5.960826182109064,0.15496482868820716,0,0,1,0
1,2733304.0,5492203,16,480.0,7076283.0,12029488,6895221,8017902,2.0093641248832914,34018894.0,12.44607039685304,0.16144566130087412,0,1,1,1
2,5080235.5,36133769,18,669.0,20802846.0,11017659,14535469,2830207,7.112616924943735,49186181.0,9.68187025975469,0.734632523418874,1,0,0,0
4,4530552.0,4750450,10,890.0,4903013.0,4013262,12457729,11818113,1.0485366904518478,33192117.0,7.3262854062816185,0.14311982139856216,0,0,1,0
0,4754796.0,23640719,6,619.0,9263815.0,15417285,13363970,7826251,4.971973350696854,45871321.0,9.647379403869273,0.5153703440245302,1,1,0,0
3,3828597.0,11428344,18,430.0,26612778.0,10527062,8201160,6926558,2.984995286785211,52267558.0,13.651882922125258,0.2186508078557868,0,1,1,0
1,8686025.0,2071571,8,626.0,2934380.0,15537593,6873353,4222916,0.23849470845409723,29568242.0,3.40411661260473,0.07006067286446475,0,1,1,0
3,5467872.0,4231660,14,474.0,20527425.0,4480957,17475854,808109,0.7739135078509519,43292345.0,7.917585671354414,0.09774614662832086,0,1,1,1
2,7954269.0,21898409,2,347.0,1662994.0,15385918,9771217,13934264,2.753038525601787,40754393.0,5.1235874723371815,0.5373263309963583,0,1,1,0
0,2811770.0,20450814,20,738.0,20492075.0,10410071,11003793,10805318,7.2732883557332215,52711257.0,18.7466460628003,0.387978105170626,1,0,0,0
0,4398129.0,33529451,4,388.0,16695895.0,16839684,6697427,9058378,7.623571523254547,49291384.0,11.207352944854506,0.6802294356305874,1,1,0,1
4,9255103.0,21713376,14,746.0,3374639.0,19052921,13154397,476242,2.3460977149578994,36058199.0,3.896034328305152,0.6021758157645141,0,0,0,1
1,7086284.0,37203913,10,602.0,23504865.0,9404576,2811612,6813616,5.250130110506437,42534669.0,6.002394061541987,0.8746726611491284,1,1,1,0
4,5080235.5,11369038,2,326.0,27835726.0,8510986,23588621,5478114,2.237895861323752,65413447.0,12.876065883166243,0.17380276300371753,0,1,0,0
4,6343394.0,20029805,18,511.0,14542324.0,6090144,11336826,5148675,3.1575848827930284,37117969.0,5.8514367860486045,0.5396255506429904,1,1,0,1
4,5010233.0,30827607,2,534.0,13978338.0,4886440,7271618,5222686,6.152928815885409,31359082.0,6.259006716853288,0.9830519278896006,1,1,0,1
3,6272479.0,9766968,14,355.0,3826996.0,955432,5946337,11743493,1.5571144997057782,22472258.0,3.582675685323139,0.4346233282555172,0,1,0,0
3,5743811.0,25730445,10,722.0,22763698.0,12723224,14170853,3421570,4.47968169565468,53079345.0,9.241137112624353,0.4847543713142208,1,0,1,0
5,318778.0,17286618,4,441.0,15001998.0,6671779,9297518,4724343,54.22776352194944,35695638.0,111.97647892890977,0.4842781494960771,1,1,0,1
0,500374.0,6835202,20,532.0,8531070.0,7245544,18982398,4640923,13.660186180736808,39399935.0,78.74097175312866,0.17348256606305149,1,1,1,1
0,3626695.0,30808131,10,785.0,6564350.0,13010561,5442803,12824037,8.494822696697682,37841751.0,10.434224824530324,0.8141306723853589,1,0,0,0
0,5695996.0,17896962,20,801.0,5775945.0,3969379,18701761,8839719,3.142025029511959,37286804.0,6.546142939707121,0.47998110859860477,1,0,0,0
1,4192910.0,27777439,20,512.0,16008256.0,18984951,803205,5282253,6.62485934589581,41078665.0,9.797173085041177,0.6762010966957885,1,1,1,1
5,1254142.0,33504250,14,692.0,25743921.0,15758632,16330847,4863840,26.71487758164546,62697240.0,49.99213805135304,0.5343815687200654,1,0,1,1
4,7544047.0,28893424,10,683.0,4577329.0,12221408,7924477,7086870,3.8299634135365275,31810084.0,4.21658083519363,0.9083101789888333,1,0,1,0
0,4213221.0,11838536,16,510.0,12310863.0,3960437,6651152,4416184,2.8098540285449065,27338636.0,6.488773316187307,0.43303314645861823,0,1,0,0
2,3452639.0,30633942,2,640.0,8509569.0,2631962,17959431,5727960,8.87261656952841,34828922.0,10.087623409224074,0.8795546735682869,1,1,1,1
4,2420183.0,29689233,18,378.0,9943399.0,3981532,6882157,5562584,12.267350444160627,26369672.0,10.895734744025555,1.1258855200821034,1,1,1,1
5,6479366.0,31057706,16,363.0,7326081.0,15670242,11771857,8647815,4.793324840732875,43415995.0,6.700654817153406,0.7153516874287532,1,1,1,0
2,8621651.0,28838576,18,655.0,12132097.0,8180554,15302646,1781657,3.34490180593021,37396954.0,4.337562956329362,0.7711477044053453,1,0,0,0
1,1329429.0,3916098,4,824.0,16255968.0,18721211,5987239,8391131,2.945699243810689,49355549.0,37.12537412678677,0.07934463297440714,0,0,0,0
4,6612985.0,2866062,14,454.0,23959450.0,18353310,2190218,4080866,0.4333991382106568,48583844.0,7.346734341602166,0.05899207853968742,0,1,0,1
1,2311722.0,35341754,10,772.0,9779193.0,5905037,5170739,743818,15.288064049223912,21598787.0,9.343159341823974,1.6362841285353604,1,0,0,0
